                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.824,                 2.8909,                 1.4293,                      1,                0.10415,                0.65639,                 0.3408,                 1.6111,                 2.5547,                 1.1569,                0.00028,                0.00028,                0.00028
                      2,                 1.5107,                 1.4052,                 1.1449,                      1,                0.36234,                0.76994,                0.39883,                 1.5373,                 2.2492,                 1.1489,             0.00056852,             0.00056852,             0.00056852
                      3,                 1.4948,                 1.1964,                 1.1564,                0.96406,                0.43039,                0.81669,                0.43615,                 1.5104,                 2.1359,                 1.1599,             0.00084515,             0.00084515,             0.00084515
                      4,                 1.4593,                 1.1639,                 1.1408,                0.98536,                0.35986,                0.69305,                0.40825,                 1.4549,                 2.1024,                 1.1714,              0.0011099,              0.0011099,              0.0011099
                      5,                 1.4013,                 1.0521,                 1.1277,                0.70536,                0.73262,                 0.7614,                0.45553,                 1.4076,                 1.3366,                 1.1896,              0.0013628,              0.0013628,              0.0013628
                      6,                 1.4282,                 1.0374,                 1.1233,                0.86359,                 0.8125,                0.88206,                0.47727,                 1.4619,                 1.1216,                 1.1886,              0.0016038,              0.0016038,              0.0016038
                      7,                 1.3941,                0.97857,                 1.1186,                 0.8668,                0.76471,                0.83928,                0.48931,                 1.4493,                0.95715,                 1.2055,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.3868,                0.96971,                 1.1215,                0.90339,                0.74332,                 0.8751,                0.50761,                 1.3976,                0.97235,                 1.1956,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.4067,                0.93411,                 1.1244,                0.90435,                0.81283,                0.93467,                0.52253,                 1.4241,                0.91554,                 1.1756,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.4076,                0.89541,                 1.1034,                0.90127,                0.78108,                0.90774,                0.51239,                 1.4337,                0.90626,                 1.1908,              0.0016832,              0.0016832,              0.0016832
                     11,                   1.33,                0.86633,                 1.0923,                 0.8513,                0.79598,                0.89347,                0.47815,                 1.4619,                0.95884,                 1.1976,              0.0016436,              0.0016436,              0.0016436
                     12,                  1.346,                0.86829,                  1.098,                0.84712,                0.85027,                0.91036,                0.53241,                 1.4256,                0.88131,                 1.1831,               0.001604,               0.001604,               0.001604
                     13,                 1.3464,                0.82698,                 1.1255,                0.87247,                0.82353,                0.91578,                0.52078,                 1.5142,                0.83471,                 1.2174,              0.0015644,              0.0015644,              0.0015644
                     14,                 1.3587,                0.83811,                  1.129,                0.88186,                0.79838,                0.92164,                0.54006,                 1.4001,                0.82555,                 1.1856,              0.0015248,              0.0015248,              0.0015248
                     15,                 1.3317,                0.83799,                 1.0954,                0.90592,                0.83957,                0.93526,                0.53982,                 1.4018,                0.77778,                 1.1831,              0.0014852,              0.0014852,              0.0014852
                     16,                 1.3127,                0.78042,                 1.0917,                0.87834,                 0.8108,                0.88617,                0.48903,                 1.5523,                0.85656,                 1.2461,              0.0014456,              0.0014456,              0.0014456
                     17,                  1.319,                0.80215,                 1.0923,                0.87881,                 0.8877,                0.93636,                0.53278,                 1.3859,                 0.7785,                 1.1773,               0.001406,               0.001406,               0.001406
                     18,                  1.292,                 0.7992,                 1.0929,                0.87047,                0.86631,                0.94135,                0.54834,                 1.3883,                0.75124,                 1.1698,              0.0013664,              0.0013664,              0.0013664
                     19,                 1.2701,                0.74799,                 1.0789,                0.85755,                 0.8692,                0.94203,                 0.5255,                 1.4573,                0.77118,                 1.2207,              0.0013268,              0.0013268,              0.0013268
                     20,                 1.2222,                 0.7304,                 1.0545,                0.87675,                 0.8749,                0.93467,                 0.5073,                 1.4168,                0.82736,                   1.19,              0.0012872,              0.0012872,              0.0012872
                     21,                 1.2433,                0.73178,                 1.0446,                0.93196,                0.83422,                0.94252,                0.56091,                 1.4107,                 0.7038,                 1.1788,              0.0012476,              0.0012476,              0.0012476
                     22,                 1.1779,                0.68059,                 1.0305,                0.88756,                0.87701,                0.94638,                0.54947,                 1.4361,                 0.7025,                 1.1782,               0.001208,               0.001208,               0.001208
                     23,                 1.2271,                0.72134,                 1.0406,                0.91632,                 0.8877,                0.95017,                0.57649,                 1.3645,                0.68101,                  1.158,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.2159,                0.67784,                  1.053,                0.88036,                 0.8877,                0.94657,                0.58329,                 1.3318,                0.71125,                 1.1278,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.1843,                0.67913,                 1.0444,                0.86533,                0.88235,                0.94052,                0.56226,                 1.3481,                0.67993,                 1.1299,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.1748,                0.68314,                  1.028,                0.88422,                 0.8877,                0.95099,                0.57633,                 1.3653,                0.66624,                 1.1485,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.2276,                0.71333,                 1.0521,                0.88593,                0.87214,                0.92521,                0.52599,                 1.4158,                0.70889,                 1.1607,                0.00101,                0.00101,                0.00101
                     28,                 1.2026,                0.69696,                 1.0368,                0.88288,                0.88684,                0.93936,                 0.5613,                 1.4028,                0.68698,                 1.1743,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.2216,                0.68947,                 1.0455,                0.86912,                0.83422,                0.90457,                0.55262,                 1.4162,                0.70111,                 1.1679,              0.0009308,              0.0009308,              0.0009308
                     30,                  1.174,                0.66364,                 1.0117,                0.88451,                0.85561,                0.92755,                0.54773,                 1.4279,                0.67632,                  1.174,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.1468,                 0.6547,                 1.0187,                0.91032,                0.85027,                0.93806,                0.55389,                  1.426,                0.67968,                 1.1851,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.2059,                0.65515,                  1.043,                0.83358,                0.88392,                0.93024,                0.54916,                 1.4011,                0.69653,                 1.1755,               0.000812,               0.000812,               0.000812
                     33,                 1.1202,                 0.6188,                 1.0049,                0.84653,                0.87701,                0.93073,                0.56192,                 1.3639,                0.71061,                 1.1502,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.1388,                0.71164,                 1.0336,                0.89363,                0.86631,                0.95066,                0.56924,                 1.3859,                0.67784,                 1.1656,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.1291,                0.64129,                 1.0201,                 0.9156,                0.85561,                 0.9358,                0.56508,                 1.4031,                0.66136,                 1.1768,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.2008,                0.66367,                 1.0194,                0.91719,                0.83957,                 0.9386,                0.56753,                  1.388,                0.68194,                 1.1675,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.1086,                0.61477,                 1.0183,                0.86929,                0.87701,                0.92059,                0.57031,                 1.3981,                0.67878,                  1.174,               0.000614,               0.000614,               0.000614
                     38,                 1.1109,                0.61858,                 1.0061,                0.89514,                0.91301,                0.94908,                0.57531,                 1.3867,                0.62828,                 1.1767,              0.0005744,              0.0005744,              0.0005744
                     39,                 1.0743,                0.59682,                0.99732,                0.88079,                0.90874,                0.93821,                 0.5675,                 1.3881,                0.62289,                 1.1771,              0.0005348,              0.0005348,              0.0005348
                     40,                 1.0902,                0.60016,                0.99721,                0.91645,                0.87981,                0.95047,                0.56915,                 1.3926,                0.63059,                 1.1706,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.0821,                0.59422,                 1.0103,                0.89841,                0.85126,                0.93301,                0.56841,                 1.3986,                0.64114,                 1.1666,              0.0004556,              0.0004556,              0.0004556
                     42,                   1.09,                 0.5908,                 1.0314,                0.91426,                0.87166,                0.95752,                0.57358,                 1.3824,                0.63845,                 1.1554,               0.000416,               0.000416,               0.000416
                     43,                 1.0628,                0.56018,                 1.0033,                0.88558,                0.86918,                0.93498,                0.55225,                 1.3727,                0.70607,                 1.1632,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.0758,                0.56791,                  1.036,                0.89553,                0.88235,                0.94079,                0.57009,                 1.3776,                0.64931,                  1.168,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.0449,                0.54123,                0.98944,                0.85996,                0.91947,                0.94013,                 0.5787,                 1.3785,                0.63982,                 1.1624,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.0039,                 0.5332,                 0.9841,                 0.8675,                0.91032,                0.93972,                0.56988,                 1.4046,                0.64116,                 1.1825,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.0745,                0.54369,                0.98808,                 0.8488,                 0.8984,                0.93734,                  0.571,                 1.3935,                0.65105,                 1.1752,               0.000218,               0.000218,               0.000218
                     48,                 1.0279,                 0.5224,                0.99047,                0.86312,                0.91979,                 0.9455,                0.57617,                 1.3988,                0.64593,                 1.1786,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.0181,                0.53133,                0.96935,                0.85945,                0.93048,                0.94372,                0.57058,                 1.4015,                0.63984,                 1.1861,              0.0001388,              0.0001388,              0.0001388
                     50,                0.98325,                0.50514,                 0.9557,                0.87279,                0.92513,                0.94633,                0.57475,                 1.3974,                0.63282,                 1.1787,               9.92e-05,               9.92e-05,               9.92e-05
